
変数情報		
変数	位置	ラベル
q01_07_1	51	A世帯員7_続柄
q01_07_2	52	A世帯員7_性別
q01_07_3	53	A世帯員7_満年齢
q01_07_4	54	A世帯員7_学校段階
q01_07_5	55	A世帯員7_在学／卒業別
q01_07_6	56	A世帯員7_傷病の状況
q01_07_7	57	A世帯員7_障害等の状況
q01_07_8	58	A世帯員7_長欠の状況
q01_08_1	59	A世帯員8_続柄
q01_08_2	60	A世帯員8_性別
q01_08_3	61	A世帯員8_満年齢
q01_08_4	62	A世帯員8_学校段階
q01_08_5	63	A世帯員8_在学／卒業別
q01_08_6	64	A世帯員8_傷病の状況
q01_08_7	65	A世帯員8_障害等の状況
q01_08_8	66	A世帯員8_長欠の状況
q01_09_1	67	A世帯員9_続柄
q01_09_2	68	A世帯員9_性別
q01_09_3	69	A世帯員9_満年齢
q01_09_4	70	A世帯員9_学校段階
q01_09_5	71	A世帯員9_在学／卒業別
q01_09_6	72	A世帯員9_傷病の状況
q01_09_7	73	A世帯員9_障害等の状況
q01_09_8	74	A世帯員9_長欠の状況
q01_10_1	75	A世帯員10_続柄
q01_10_2	76	A世帯員10_性別
q01_10_3	77	A世帯員10_満年齢
q01_10_4	78	A世帯員10_学校段階
q01_10_5	79	A世帯員10_在学／卒業別
q01_10_6	80	A世帯員10_傷病の状況
q01_10_7	81	A世帯員10_障害等の状況
q01_10_8	82	A世帯員10_長欠の状況
q01_11_1	83	A世帯員11_続柄
q01_11_2	84	A世帯員11_性別
q01_11_3	85	A世帯員11_満年齢
q01_11_4	86	A世帯員11_学校段階
q01_11_5	87	A世帯員11_在学／卒業別
q01_11_6	88	A世帯員11_傷病の状況
q01_11_7	89	A世帯員11_障害等の状況
q01_11_8	90	A世帯員11_長欠の状況
q01_12_1	91	A世帯員12_続柄
q01_12_2	92	A世帯員12_性別
q01_12_3	93	A世帯員12_満年齢
q01_12_4	94	A世帯員12_学校段階
q01_12_5	95	A世帯員12_在学／卒業別
q01_12_6	96	A世帯員12_傷病の状況
q01_12_7	97	A世帯員12_障害等の状況
q01_12_8	98	A世帯員12_長欠の状況
q01_13_1	99	A世帯員13_続柄
q01_13_2	100	A世帯員13_性別
q01_13_3	101	A世帯員13_満年齢
q01_13_4	102	A世帯員13_学校段階
q01_13_5	103	A世帯員13_在学／卒業別
q01_13_6	104	A世帯員13_傷病の状況
q01_13_7	105	A世帯員13_障害等の状況
q01_13_8	106	A世帯員13_長欠の状況
q02_01	107	B低所得化素因_イ_戦争被害
q02_02	108	B低所得化素因_ロ_一般の災害事故
q02_03	109	B低所得化素因_ハ_生計中心者の死亡
q02_04	110	B低所得化素因_ニ_生計中心者の失業
q02_05	111	B低所得化素因_ホ_事業の失敗
q02_06	112	B低所得化素因_ヘ_家庭の争議
q02_07	113	B低所得化素因_ト_勤労収入の減滅化
q02_08	114	B低所得化素因_チ_資産の消滅
q02_09	115	B低所得化素因_リ_傷病者の発生
q02_10	116	B低所得化素因_ヌ_傷病の長期化
q02_11	117	B低所得化素因_ル_老令化による労働能力の低下
q02_21	118	B低所得化素因_イ_生活能力が低い
q02_22	119	B低所得化素因_ロ_家計中心者が病弱である
q02_23	120	B低所得化素因_ハ_家庭の不和
q02_24	121	B低所得化素因_ニ_家庭内に身体障害者がいる
q02_25	122	B低所得化素因_ホ_家庭内に長期療養者がいる
q03	123	C世帯の種類
q04_1	124	D公的施策の依存歴_1_被保護世帯
q04_2	125	D公的施策の依存歴_2_母子福祉資金借入
q04_3	126	D公的施策の依存歴_3_世帯更生資金借入
q04_4	127	D公的施策の依存歴_4_世帯更生特別奨学資金借入
q04_5	128	D公的施策の依存歴_5_父のない子の身元保障
q04_6	129	D公的施策の依存歴_6_身体障害者更生医療の給付
q04_7	130	D公的施策の依存歴_7_医療費貸付資金借入
q04_8	131	D公的施策の依存歴_8_公益質屋の利用
q05_1_01	132	E収入1_働いている者の世帯員番号
q05_1_02	133	E収入1_賃金_就労の内容
q05_1_03	134	E収入1_賃金_雇用の形態
q05_1_04	135	E収入1_賃金_収入の額
q05_1_05code	136	E収入1_自営_商業の内容
q05_1_06	137	E収入1_自営_従業員数
q05_1_07	138	E収入1_自営_月間仕入資金
q05_1_08	139	E収入1_自営_収入の額
q05_1_09	140	E収入1_農漁_耕作規模
q05_1_10	141	E収入1_農漁_内容_米麦
q05_1_11	142	E収入1_農漁_内容_花卉き
q05_1_12	143	E収入1_農漁_内容_野菜
q05_1_13	144	E収入1_農漁_内容_家畜
q05_1_14	145	E収入1_農漁_漁業
q05_1_15	146	E収入1_農漁_収入の額
q05_1_16	147	E収入1_内職_形態
q05_1_17	148	E収入1_内職_収入額
q05_1_18	149	E収入1_勤労先の規模
q05_2_01	150	E収入2_働いている者の世帯員番号
q05_2_02	151	E収入2_賃金_就労の内容
q05_2_03	152	E収入2_賃金_雇用の形態
q05_2_04	153	E収入2_賃金_収入の額
q05_2_05code	154	E収入2_自営_商業の内容
q05_2_06	155	E収入2_自営_従業員数
q05_2_07	156	E収入2_自営_月間仕入資金
q05_2_08	157	E収入2_自営_収入の額
q05_2_09	158	E収入2_農漁_耕作規模
q05_2_10	159	E収入2_農漁_内容_米麦
q05_2_11	160	E収入2_農漁_内容_花卉き
q05_2_12	161	E収入2_農漁_内容_野菜
q05_2_13	162	E収入2_農漁_内容_家畜
q05_2_14	163	E収入2_農漁_漁業
q05_2_15	164	E収入2_農漁_収入の額
q05_2_16	165	E収入2_内職_形態
q05_2_17	166	E収入2_内職_収入額
q05_2_18	167	E収入2_勤労先の規模
q05_3_01	168	E収入3_働いている者の世帯員番号
q05_3_02	169	E収入3_賃金_就労の内容
q05_3_03	170	E収入3_賃金_雇用の形態
q05_3_04	171	E収入3_賃金_収入の額
q05_3_05code	172	E収入3_自営_商業の内容
q05_3_06	173	E収入3_自営_従業員数
q05_3_07	174	E収入3_自営_月間仕入資金
q05_3_08	175	E収入3_自営_収入の額
q05_3_09	176	E収入3_農漁_耕作規模
q05_3_10	177	E収入3_農漁_内容_米麦
q05_3_11	178	E収入3_農漁_内容_花卉き
q05_3_12	179	E収入3_農漁_内容_野菜
q05_3_13	180	E収入3_農漁_内容_家畜
q05_3_14	181	E収入3_農漁_漁業
q05_3_15	182	E収入3_農漁_収入の額
q05_3_16	183	E収入3_内職_形態
q05_3_17	184	E収入3_内職_収入額
q05_3_18	185	E収入3_勤労先の規模
q05_4_01	186	E収入4_働いている者の世帯員番号
q05_4_02	187	E収入4_賃金_就労の内容
q05_4_03	188	E収入4_賃金_雇用の形態
q05_4_04	189	E収入4_賃金_収入の額
q05_4_05code	190	E収入4_自営_商業の内容
q05_4_06	191	E収入4_自営_従業員数
q05_4_07	192	E収入4_自営_月間仕入資金
q05_4_08	193	E収入4_自営_収入の額
q05_4_09	194	E収入4_農漁_耕作規模
q05_4_10	195	E収入4_農漁_内容_米麦
q05_4_11	196	E収入4_農漁_内容_花卉き
q05_4_12	197	E収入4_農漁_内容_野菜
q05_4_13	198	E収入4_農漁_内容_家畜
q05_4_14	199	E収入4_農漁_漁業
q05_4_15	200	E収入4_農漁_収入の額
q05_4_16	201	E収入4_内職_形態
q05_4_17	202	E収入4_内職_収入額
q05_4_18	203	E収入4_勤労先の規模
q05_5_01	204	E収入5_働いている者の世帯員番号
q05_5_02	205	E収入5_賃金_就労の内容
q05_5_03	206	E収入5_賃金_雇用の形態
q05_5_04	207	E収入5_賃金_収入の額
q05_5_05code	208	E収入5_自営_商業の内容
q05_5_06	209	E収入5_自営_従業員数
q05_5_07	210	E収入5_自営_月間仕入資金
q05_5_08	211	E収入5_自営_収入の額
q05_5_09	212	E収入5_農漁_耕作規模
q05_5_10	213	E収入5_農漁_内容_米麦
q05_5_11	214	E収入5_農漁_内容_花卉き
q05_5_12	215	E収入5_農漁_内容_野菜
q05_5_13	216	E収入5_農漁_内容_家畜
q05_5_14	217	E収入5_農漁_漁業
q05_5_15	218	E収入5_農漁_収入の額
q05_5_16	219	E収入5_内職_形態
q05_5_17	220	E収入5_内職_収入額
q05_5_18	221	E収入5_勤労先の規模
q05_6_01	222	E収入6_働いている者の世帯員番号
q05_6_02	223	E収入6_賃金_就労の内容
q05_6_03	224	E収入6_賃金_雇用の形態
q05_6_04	225	E収入6_賃金_収入の額
q05_6_05code	226	E収入6_自営_商業の内容
q05_6_06	227	E収入6_自営_従業員数
q05_6_07	228	E収入6_自営_月間仕入資金
q05_6_08	229	E収入6_自営_収入の額
q05_6_09	230	E収入6_農漁_耕作規模
q05_6_10	231	E収入6_農漁_内容_米麦
q05_6_11	232	E収入6_農漁_内容_花卉き
q05_6_12	233	E収入6_農漁_内容_野菜
q05_6_13	234	E収入6_農漁_内容_家畜
q05_6_14	235	E収入6_農漁_漁業
q05_6_15	236	E収入6_農漁_収入の額
q05_6_16	237	E収入6_内職_形態
q05_6_17	238	E収入6_内職_収入額
q05_6_18	239	E収入6_勤労先の規模
q06_1	240	F家計1_世帯主の勤労収入
q06_2	241	F家計2_世帯員の勤労収入
q06_3	242	F家計3_事業収入
q06_4	243	F家計4_財産収入
q06_5	244	F家計5_仕送収入
q06_6	245	F家計6_恩給退職金
q06_7	246	F家計7_社会保険給付金
q06_8	247	F家計8_その他
q07	248	F家計_世帯収入総額階位
q08	249	F家計_前年に比べて最近の収入状況
q09_1	250	F生活費圧迫1_飲食物費
q09_2	251	F生活費圧迫2_住居費
q09_3	252	F生活費圧迫3_光熱費
q09_4	253	F生活費圧迫4_被服費
q09_5	254	F生活費圧迫5_医療保健衛生費
q09_6	255	F生活費圧迫6_教育費
q09_7	256	F生活費圧迫7_競馬競輪費
q09_8	257	F生活費圧迫8_交際費（その他）
q10_1	258	F生活費が足りない時の補充1_掛買
q10_2	259	F生活費が足りない時の補充2_入質
q10_3	260	F生活費が足りない時の補充3_勤務先で借りる
q10_4	261	F生活費が足りない時の補充4_友人近隣で借りる
q10_5	262	F生活費が足りない時の補充5_物を売る
q10_6	263	F生活費が足りない時の補充6_預金を引出す
q10_7	264	F生活費が足りない時の補充7_その他
q10_8	265	F生活費が足りない時の補充8_飲食費をきりつめる
q11current	266	G世帯主の就労歴_現職・最近職のみ回答
q11othera	267	G世帯主の就労歴_世帯主以外の記入
q11otherb	268	G世帯主の就労歴_記入された世帯員番号
q11_1_1	269	G世帯主の就労歴1_就労／転職年齢
q11_1_2	270	G世帯主の就労歴1_就業先
q11_2_1	271	G世帯主の就労歴2_就労／転職年齢
q11_2_2	272	G世帯主の就労歴2_転職理由
q11_2_3	273	G世帯主の就労歴2_就業先
q11_3_1	274	G世帯主の就労歴3_就労／転職年齢
q11_3_2	275	G世帯主の就労歴3_転職理由
q11_3_3	276	G世帯主の就労歴3_就業先
q11_4_1	277	G世帯主の就労歴4_就労／転職年齢
q11_4_2	278	G世帯主の就労歴4_転職理由
q11_4_3	279	G世帯主の就労歴4_就業先
q11_5_1	280	G世帯主の就労歴5_就労／転職年齢
q11_5_2	281	G世帯主の就労歴5_転職理由
q11_5_3	282	G世帯主の就労歴5_就業先
q11_6_1	283	G世帯主の就労歴6_就労／転職年齢
q11_6_2	284	G世帯主の就労歴6_転職理由
q11_6_3	285	G世帯主の就労歴6_就業先
q11_7_1	286	G世帯主の就労歴7_就労／転職年齢
q11_7_2	287	G世帯主の就労歴7_転職理由
q11_7_3	288	G世帯主の就労歴7_就業先
q11_8_1	289	G世帯主の就労歴8_就労／転職年齢
q11_8_2	290	G世帯主の就労歴8_転職理由
q11_8_3	291	G世帯主の就労歴8_就業先
q11_9_1	292	G世帯主の就労歴9_就労／転職年齢
q11_9_2	293	G世帯主の就労歴9_転職理由
q11_9_3	294	G世帯主の就労歴9_就業先
q11_10_1	295	G世帯主の就労歴10_就労／転職年齢
q11_10_2	296	G世帯主の就労歴10_転職理由
q11_10_3	297	G世帯主の就労歴10_就業先
q11_11_1	298	G世帯主の就労歴11_就労／転職年齢
q11_11_2	299	G世帯主の就労歴11_転職理由
q11_11_3	300	G世帯主の就労歴11_就業先
q12_1	301	H世帯就業率1_世帯人員
q12_2	302	H世帯就業率2_13才以下
q12_3	303	H世帯就業率3_14才以上
q12_4	304	H世帯就業率4_有業者
q12_5	305	H世帯就業率5_非有業者
q12_6	306	H世帯就業率6_失業者
q13codeb	307	I住居_世帯主の出生地
q14	308	I住居_県内在住年数
q15	309	I住居_現在の住居の所有関係
q16_1	310	I住居_室数
q16_2	311	I住居_畳数
q17_1	312	I住居_台所の専用／共用
q17_2	313	I住居_便所の専用／共用
q18_1	314	I住居_家賃
q18_2	315	I住居_地代
q18_3	316	I住居_間代
q19	317	I住居_滞納月数
q20	318	I住居_現在の住居の状況
q21_1	319	I住居の問題1_畳数が1人当1.5畳以下
q21_2	320	I住居の問題2_立退要求を受けている
q21_3	321	I住居の問題3_収入に比し家賃が高い
q21_4	322	I住居の問題4_勤務地に遠い
q21_5	323	I住居の問題5_交通が不便である
q21_6	324	I住居の問題6_その他
q22	325	J医療需要_最長就床期間
q22_1	326	J医療需要_自費
q22_2	327	J医療需要_1/2保険
q22_3	328	J医療需要_全額保険
q22_4	329	J医療需要_未払
q22_5	330	J医療需要_借金
q22_6	331	J医療需要_資産活用
q22_7	332	J医療需要_医療扶助
q22_8	333	J医療需要_医療費貸付
q23_1	334	K家庭文化_新聞
q23_1b	335	K家庭文化_新聞_借りて読む
q23_2	336	K家庭文化_ラジオ
q23_2b	337	K家庭文化_ラジオ_他の家をきく
q23_3	338	K家庭文化_週刊誌
q23_3b	339	K家庭文化_週刊誌_他人から借てよむ
q23_4	340	K家庭文化_単行本
q23_4b	341	K家庭文化_単行本_他人から借てよむ
q23_5	342	K家庭文化_テレビ
q23_5b	343	K家庭文化_テレビ_他の家のをみる
q23_6	344	K家庭文化_映画（演劇）
q24_1	345	Lレクリエーション_ハイキング（家族単位）
q24_2	346	Lレクリエーション_小旅行
q24_3	347	Lレクリエーション_100円温泉
q25_1	348	M保険_健康保険
q25_2	349	M保険_国民健康保険
q25_3	350	M保険_日雇労働者健康保険
q25_4	351	M保険_厚生年金保険
q25_5	352	M保険_失業保険
q25_6	353	M保険_船員保険
q25_7	354	M保険_労働者災害補償保険
q25_8	355	M保険_公務員共済保険
q25_9	356	M保険_簡易生命保険
q25_10	357	M保険_郵便年金
q25_11	358	M保険_生命保険
q25_12	359	M保険_国民年金
q26_1	360	N家財_和・洋タンス
q26_2	361	N家財_ミシン
q26_3	362	N家財_ラジオ
q26_4	363	N家財_テレビ
q26_5	364	N家財_時計
q26_6	365	N家財_食卓
q26_7	366	N家財_電気洗濯機
q26_8	367	N家財_勉強用机
q26_9	368	N家財_不動産
q27_a1	369	O1児童_(1)児童_14歳以下_イ_高校へ進学させる
q27_a2	370	O1児童_(1)児童_14歳以下_ロ_進学をさせない
q27_a3	371	O1児童_(1)児童_14歳以下_ハ_就職させる
q27_a4	372	O1児童_(1)児童_14歳以下_ニ_その他
q27_b1	373	O1児童_(1)児童_進学させない理由_1_早く収入を得たい
q27_b2	374	O1児童_(1)児童_進学させない理由_2_教育費に困る
q27_b3	375	O1児童_(1)児童_進学させない理由_3_学力不足
q27_b4	376	O1児童_(1)児童_進学させない理由_4_その他
q28_1	377	O1児童_(2)養育教育_子供をみるひまがない
q28_2	378	O1児童_(2)養育教育_子供の遊び場がない
q28_3	379	O1児童_(2)養育教育_周りの環境が悪い
q28_4	380	O1児童_(2)養育教育_友人が悪い
q28_5	381	O1児童_(2)養育教育_学校が遠い
q28_6	382	O1児童_(2)養育教育_充分学用品が買えない
q28_7	383	O1児童_(2)養育教育_教育費が高くてこまる
q28_8	384	O1児童_(2)養育教育_学校がきらいで休んで困る
q28_9	385	O1児童_(2)養育教育_衣類，くつ，かさ等が買えない
q28_10	386	O1児童_(2)養育教育_特殊学（級）校がない
q29_1	387	O2社会福祉_(1)生活相談_イ_民生委員
q29_2	388	O2社会福祉_(1)生活相談_ロ_雇主
q29_3	389	O2社会福祉_(1)生活相談_ハ_親，兄弟，親せき
q29_4	390	O2社会福祉_(1)生活相談_ニ_心配ごと相談室
q29_5	391	O2社会福祉_(1)生活相談_ホ_友人，近所の人
q29_6	392	O2社会福祉_(1)生活相談_ヘ_役所の窓口
q30_1	393	O2社会福祉_(2)当面切実に困る_イ_職業（就職）
q30_2	394	O2社会福祉_(2)当面切実に困る_ロ_生業資金
q30_3	395	O2社会福祉_(2)当面切実に困る_ハ_住宅資金
q30_4	396	O2社会福祉_(2)当面切実に困る_ニ_就学資金
q30_5	397	O2社会福祉_(2)当面切実に困る_ホ_乳幼児の保育
q30_6	398	O2社会福祉_(2)当面切実に困る_ヘ_適当な内職がない
q30_7	399	O2社会福祉_(2)当面切実に困る_ト_医療費が高くて困る
q30_8	400	O2社会福祉_(2)当面切実に困る_チ_その他

変数値		
値		ラベル
city	1	横浜市
	2	川崎市
	3	横須賀市
	41	逗子市
	42	三浦市
	43	大和市
q01_01_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_01_2	0	非該当
	1	男性
	2	女性
	9	不明・無回答
q01_01_3	99	不明・無回答
	999	非該当
q01_01_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_01_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_01_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_01_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_01_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q01_02_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_02_2	0	非該当
	1	男性
	2	女性
	9	不明・無回答
q01_02_3	99	不明・無回答
	999	非該当
q01_02_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_02_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_02_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_02_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_02_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q01_03_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_03_2	0	非該当
	1	男性
	2	女性
	9	不明・無回答
q01_03_3	99	不明・無回答
	999	非該当
q01_03_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_03_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_03_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_03_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_03_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q01_04_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_04_2	0	非該当
	1	男性
	2	女性
	9	不明・無回答
q01_04_3	99	不明・無回答
	999	非該当
q01_04_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_04_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_04_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_04_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_04_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q01_05_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_05_2	0	非該当
	1	男性
	2	女性
	9	不明・無回答
q01_05_3	99	不明・無回答
	999	非該当
q01_05_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_05_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_05_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_05_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_05_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q01_06_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_06_2	0	非該当
	1	男性
	2	女性
	9	不明・無回答
q01_06_3	99	不明・無回答
	999	非該当
q01_06_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_06_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_06_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_06_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_06_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q01_07_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_07_2	0	非該当
	1	男性
	2	女性
	9	不明・無回答
q01_07_3	99	不明・無回答
	999	非該当
q01_07_4	0	非該当
	1	義務教育
	2	高校
	3	大学
	4	各種学校
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_07_5	0	非該当
	1	在学中
	2	卒業
	3	中退
	7	長欠のため通っていない
	8	学齢に達していない
	9	不明・無回答
q01_07_6	0	選択なし
	1	在
	2	入
	3	中止
	999	非該当
q01_07_7	0	なし
	1	あり
	9	不明・無回答
	999	非該当
q01_07_8	0	選択なし
	1	病気
	2	労働
	3	その他
	999	非該当
q01_08_1	0	非該当
	1	世帯主本人
	2	世帯主の配偶者
	3	世帯主の子ども
	4	子どもの配偶者
	5	孫
	6	世帯主の父（単に「父」の表記を含む）
	7	世帯主の母（単に「母」の表記を含む）
	8	世帯主配偶者の父
	9	世帯主配偶者の母
	10	世帯主の祖父
	11	世帯主の祖母
	12	世帯主配偶者の祖父
	13	世帯主配偶者の祖母
	14	世帯主の兄弟姉妹
	15	配偶者の兄弟姉妹
	16	養子
	17	その他血縁関係のある同居人
	18	その他血縁関係のない同居人
	99	不明・無回答
q01_08_2	0	非該当
	1	男性
